fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,On,On,Off,On,Off,Off,On,On,Off,On,On,On,Off,On,On,On,Off,Off,0.08771920204162598,0.2640526294708252,145520,2.0772342681884766,356663,1676,4.903458595275879,"[10, 50, 6, 4, 5]"
On,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,On,Off,Off,Off,0.08837103843688965,0.2585792541503906,145592,2.060120105743408,356663,1676,4.876898527145386,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,On,On,Off,Off,On,On,Off,On,Off,Off,Off,On,Off,Off,On,On,0.09226536750793457,0.2694664001464844,140352,2.074864149093628,356663,1676,4.96245813369751,"[10, 50, 6, 4, 5]"
On,Off,On,On,Off,Off,Off,Off,On,Off,Off,On,On,On,Off,On,Off,On,On,On,0.09084057807922363,0.7177023887634277,205976,4.135183334350586,828309,4503,7.475838661193848,"[10, 50, 6, 4, 10]"
On,On,On,On,Off,Off,On,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,Off,0.08765959739685059,0.7463653087615967,205976,4.13927698135376,828309,4503,7.399303436279297,"[10, 50, 6, 4, 10]"
Off,Off,On,On,Off,On,Off,Off,On,On,Off,On,On,On,Off,On,On,On,Off,Off,0.09134745597839355,0.7501540184020996,207208,4.131019830703735,828309,4503,7.4728827476501465,"[10, 50, 6, 4, 10]"
On,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,On,Off,Off,Off,0.09026193618774414,0.7618117332458496,207240,4.147770881652832,828309,4503,7.444042921066284,"[10, 50, 6, 4, 10]"
On,On,On,On,Off,Off,On,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,Off,0.08409500122070312,0.7030322551727295,241456,6.781473636627197,866233,4708,10.024443626403809,"[10, 50, 6, 4, 25]"
On,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,On,Off,Off,Off,0.08839082717895508,0.705653190612793,246776,6.753263235092163,866233,4708,9.996164083480835,"[10, 50, 6, 4, 25]"
On,On,On,On,Off,Off,On,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,Off,0.08670186996459961,1.505047082901001,521896,34.11383247375488,2152160,10605,38.20033288002014,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,On,Off,Off,Off,On,On,On,Off,Off,On,On,On,On,Off,0.08664274215698242,0.7161445617675781,207208,4.147296905517578,828309,4503,7.476841449737549,"[10, 50, 6, 4, 10]"
On,On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,On,On,Off,Off,On,On,0.07792019844055176,0.8241119384765625,206008,4.124334812164307,828309,4503,7.483266830444336,"[10, 50, 6, 4, 10]"
On,On,Off,On,Off,Off,Off,On,On,On,On,On,Off,On,Off,Off,Off,Off,Off,Off,0.0827939510345459,0.7097203731536865,206008,4.13526177406311,828309,4503,7.340480089187622,"[10, 50, 6, 4, 10]"
On,On,Off,Off,On,Off,Off,On,Off,On,On,Off,On,On,Off,On,Off,Off,Off,On,0.08160996437072754,0.7458312511444092,206008,4.131573915481567,828309,4503,7.394910097122192,"[10, 50, 6, 4, 10]"
Off,On,On,On,On,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,On,0.08678531646728516,0.7828803062438965,206008,4.130133152008057,828309,4503,7.500213861465454,"[10, 50, 6, 4, 10]"
Off,Off,Off,Off,Off,On,On,On,Off,On,On,On,On,On,Off,On,Off,Off,On,On,0.08063745498657227,0.7328550815582275,206008,4.1400370597839355,828309,4503,7.41799259185791,"[10, 50, 6, 4, 10]"
On,On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,On,On,Off,Off,On,On,0.09001588821411133,0.7109715938568115,241528,6.789653778076172,866233,4708,9.989917755126953,"[10, 50, 6, 4, 25]"
Off,Off,Off,Off,Off,On,On,On,Off,On,On,On,On,On,Off,On,Off,Off,On,On,0.09112787246704102,0.728424072265625,241528,6.750483274459839,866233,4708,9.96606159210205,"[10, 50, 6, 4, 25]"
On,On,Off,Off,On,Off,Off,On,Off,On,On,Off,On,On,Off,On,Off,Off,Off,On,0.08522844314575195,0.6666839122772217,241528,6.779128551483154,866233,4708,10.007942199707031,"[10, 50, 6, 4, 25]"
On,On,Off,Off,On,Off,Off,On,Off,On,On,Off,On,On,Off,On,Off,Off,Off,On,0.09342765808105469,1.5091140270233154,513896,34.12411594390869,2152160,10605,38.222761154174805,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,Off,Off,On,Off,Off,On,On,On,Off,Off,On,On,On,Off,On,0.08424258232116699,0.6925959587097168,246776,6.7787933349609375,866233,4708,10.081959009170532,"[10, 50, 6, 4, 25]"
On,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,On,Off,On,Off,Off,On,On,0.09691691398620605,0.7164874076843262,241456,6.771735668182373,866233,4708,10.054373264312744,"[10, 50, 6, 4, 25]"
On,Off,Off,Off,Off,On,Off,Off,On,On,On,Off,Off,Off,Off,On,On,On,Off,On,0.08326864242553711,0.7048566341400146,242608,6.781701326370239,866233,4708,10.001875638961792,"[10, 50, 6, 4, 25]"
On,Off,On,Off,Off,On,On,Off,Off,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,0.10281252861022949,0.6746652126312256,242608,6.748376846313477,866233,4708,10.024024248123169,"[10, 50, 6, 4, 25]"
On,Off,Off,Off,Off,On,Off,Off,On,On,On,Off,Off,Off,Off,On,On,On,Off,On,0.10203146934509277,1.5293257236480713,515000,34.08923935890198,2152160,10605,38.190481424331665,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,Off,Off,On,Off,Off,On,On,On,Off,Off,On,On,On,Off,On,0.09031987190246582,1.5084187984466553,523384,34.36348342895508,2152160,10605,38.52275800704956,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,On,Off,On,Off,0.08773946762084961,1.5269784927368164,523192,34.11217260360718,2152160,10605,38.13828897476196,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,Off,On,Off,On,On,Off,Off,On,Off,On,Off,On,On,On,0.09149909019470215,1.5324783325195312,513896,34.02621388435364,2152160,10605,38.08495616912842,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,Off,Off,On,Off,Off,On,On,Off,On,Off,On,On,Off,On,On,0.0835564136505127,1.4669275283813477,523384,34.1066370010376,2152160,10605,38.13828229904175,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,Off,Off,Off,On,On,On,Off,On,On,Off,On,Off,On,Off,On,0.07868480682373047,1.4805972576141357,513704,34.10123038291931,2152160,10605,38.227680683135986,"[10, 50, 6, 4, 50]"
