8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,encode_time,avg_cpu_util,output_file_mb,bitrate_kbps,encode_fps,cost,fidelity
1,p4x4,0,0.4498679550631097,0,12,0,7,16.60761245102158,-4:4,none,1,187,0,hex,17,1,1,none,0,12.82,12.82,1091.809672,85.490658,35917.242272,94.8,12.976264238357544,"['Action', '1080p', 60, '20s']"
0,p4x4,3,1.2932080819328864,0,16,1,0,28.58475890485096,-1:1,spatial,1,326,0,umh,17,1,1,vbr,1,12.9,12.9,1135.271318,24.323302,10218.963836,93.7,13.034783601760864,"['Action', '1080p', 60, '20s']"
1,p4x4,0,1.195380953907058,0,12,0,7,16.60761245102158,0:0,auto,1,326,0,hex,22,0,1,vbr,1,12.44,12.44,1077.572347,83.032613,34884.542322,97.67,12.614850282669067,"['Action', '1080p', 60, '20s']"
0,p4x4,0,1.2932080819328864,0,12,0,7,29.585346184273632,-1:1,spatial,1,326,0,hex,17,1,1,vbr,1,10.28,10.28,925.583658,22.300914,9369.296538,118.41,10.419335126876831,"['Action', '1080p', 60, '20s']"
1,p4x4,3,1.380266751513598,0,12,1,7,29.585346184273632,-4:4,none,1,326,0,hex,17,1,0,vbr,1,10.82,10.82,972.550832,22.579079,9486.162112,112.35,10.979289531707764,"['Action', '1080p', 60, '20s']"
0,p4x4,0,0.4498679550631097,0,12,0,0,28.58475890485096,0:0,auto,1,445,0,hex,17,0,1,none,1,11.04,11.04,963.134058,25.791922,10835.975779,109.55,11.192365169525146,"['Action', '1080p', 60, '20s']"
0,p8x8,2,0.7178658312480799,1,12,1,1,28.58475890485096,-4:4,temporal,1,385,1,dia,17,0,0,vbr,1,18.29,18.29,575.669765,17.385253,7304.07694,66.07,18.446707010269165,"['Action', '1080p', 60, '20s']"
0,none,2,0.7963403618786435,2,12,0,4,49.801977859487394,0:0,none,1,321,3,hex,60,0,1,none,0,50.14,50.14,326.924611,3.371956,1416.66188,23.94,50.264780044555664,"['Action', '1080p', 60, '20s']"
0,p8x8,0,0.7963403618786435,2,0,0,4,49.801977859487394,0:0,temporal,1,326,4,hex,60,0,1,vbr,1,9.6,9.6,556.25,2.436718,1023.739816,126.13,9.730772495269775,"['Action', '1080p', 60, '20s']"
1,p4x4,2,1.195380953907058,0,12,0,7,29.585346184273632,6:-6,auto,1,321,0,dia,22,0,1,vbr,0,10.73,10.73,902.050326,18.887657,7935.282939,112.79,10.86951756477356,"['Action', '1080p', 60, '20s']"
1,p4x4,3,1.270976006081585,0,12,0,7,26.763382110464214,-4:4,auto,1,445,0,hex,17,1,1,none,1,11.61,11.61,891.128338,27.064245,11370.517874,104.21,11.76689887046814,"['Action', '1080p', 60, '20s']"
0,p4x4,0,1.195380953907058,0,9,1,0,29.585346184273632,0:0,temporal,1,326,0,hex,17,0,0,vbr,1,10.96,10.96,861.222628,22.668891,9523.895,110.39,11.093989133834839,"['Action', '1080p', 60, '20s']"
1,none,3,0.7178658312480799,1,12,1,-4,26.763382110464214,0:0,spatial,1,385,3,hex,22,0,1,none,1,11.68,11.68,860.273973,21.176564,8896.922856,104.0,11.827373504638672,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",3,0.20990221636511408,1,6,1,1,28.58475890485096,-4:4,none,1,475,3,dia,32,0,0,vbr,0,14.52,14.52,1300.344353,17.943541,7538.630659,83.46,14.662072658538818,"['Action', '1080p', 60, '20s']"
1,p4x4,3,1.195380953907058,1,6,0,-4,26.763382110464214,0:0,spatial,1,445,3,esa,22,0,0,vbr,0,17.26,17.26,1363.673233,20.562804,8639.063495,69.84,17.407308340072632,"['Action', '1080p', 60, '20s']"
1,none,0,1.6772834893657993,0,2,1,7,28.58475890485096,-4:4,none,1,475,0,dia,17,0,1,none,1,10.96,10.96,857.572993,19.632792,8248.33669,110.47,11.096521615982056,"['Action', '1080p', 60, '20s']"
1,p4x4,3,1.195380953907058,0,9,1,-4,26.763382110464214,-4:4,auto,1,210,0,dia,22,0,0,vbr,0,11.53,11.53,980.919341,28.483972,11966.988381,105.37,11.669143676757812,"['Action', '1080p', 60, '20s']"
0,p4x4,3,1.270976006081585,1,6,1,0,26.763382110464214,0:0,temporal,1,445,0,hex,17,0,0,none,1,11.03,11.03,1008.522212,20.649254,8675.383628,109.69,11.17401933670044,"['Action', '1080p', 60, '20s']"
1,none,3,1.195380953907058,0,6,1,0,26.763382110464214,-4:4,none,1,475,0,hex,22,0,0,vbr,0,11.28,11.28,968.173759,26.814283,11265.501248,107.32,11.42127537727356,"['Action', '1080p', 60, '20s']"
1,p8x8,3,0.4498679550631097,1,12,1,-4,28.58475890485096,0:0,auto,1,445,3,dia,20,0,1,none,1,12.46,12.46,1023.675762,17.959268,7545.238071,97.39,12.626712560653687,"['Action', '1080p', 60, '20s']"
1,p4x4,3,0.7963403618786435,2,0,0,4,26.763382110464214,0:0,temporal,1,321,0,dia,9,0,1,vbr,0,10.16,10.16,643.897638,20.823344,8748.524328,119.67,10.311439037322998,"['Action', '1080p', 60, '20s']"
