8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,encode_time,avg_cpu_util,output_file_mb,bitrate_kbps,encode_fps,cost,fidelity
1,"p8x8,b8x8,i8x8,i4x4",3,1.8536375772067468,1,14,1,-9,48.69972407045133,4:4,spatial,1,55,0,hex,27,1,0,cbr,1,10.31,10.31,841.028128,2.639632,1108.990299,117.95,10.519156694412231,"['Action', '1080p', 60, '20s']"
0,all,2,1.3484439262635448,0,6,0,-6,47.58284013255285,-6:6,none,0,315,0,umh,13,1,0,none,1,16.04,16.04,1429.36409,5.059159,2125.507677,75.2,16.24400234222412,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",0,0.6780434947263896,0,7,1,-9,5.471573467247061,-4:4,auto,0,7,0,dia,14,0,1,vbr,0,16.78,16.78,1344.219309,176.244624,74045.761569,72.02,17.019474506378174,"['Action', '1080p', 60, '20s']"
1,p8x8,3,1.7434435397617796,0,7,1,10,50.114898346428774,-6:6,spatial,1,19,0,hex,13,0,0,none,1,10.49,10.49,612.583413,2.044895,859.123057,115.84,10.707791566848755,"['Action', '1080p', 60, '20s']"
1,all,0,1.8254512841572041,1,16,1,12,48.79246296882006,-3:3,spatial,1,118,0,dia,52,0,1,vbr,0,9.84,9.84,787.093496,2.261375,950.073039,123.81,10.036707878112793,"['Action', '1080p', 60, '20s']"
0,p8x8,2,1.251059436766282,1,11,0,4,47.41116740564745,5:5,auto,0,406,0,hex,42,0,1,none,1,9.99,9.99,758.758759,2.24746,944.226896,121.64,10.197191715240479,"['Action', '1080p', 60, '20s']"
0,p8x8,1,0.8335577067516693,1,0,1,2,48.913427877096034,5:-5,spatial,1,4,0,hex,11,0,1,none,1,8.38,8.38,506.085919,4.032622,1694.228085,145.69,8.57817029953003,"['Action', '1080p', 60, '20s']"
1,p4x4,0,1.8888942874481458,0,9,0,-3,45.51570914857152,1:-1,temporal,0,359,0,hex,20,0,1,none,0,9.17,9.17,742.311887,4.212853,1769.948685,132.91,9.368342161178589,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",0,1.8183330636527928,0,10,0,-12,46.213088713591645,6:-6,auto,0,34,0,hex,42,1,1,none,0,12.18,12.18,729.885057,4.047039,1700.28498,99.2,12.38193130493164,"['Action', '1080p', 60, '20s']"
1,p8x8,3,0.8450050016818129,1,9,0,1,34.18655256741534,1:1,spatial,1,3,0,hex,10,1,0,none,1,8.35,8.35,710.299401,11.794557,4955.254275,145.26,8.527764797210693,"['Action', '1080p', 60, '20s']"
0,p4x4,3,0.3373655462389742,0,12,0,-12,33.525963846561915,5:-5,auto,1,3,0,hex,12,1,1,cbr,1,7.9,7.9,659.493671,14.744209,6194.493653,154.86,8.13245439529419,"['Action', '1080p', 60, '20s']"
1,all,0,0.1871901131354914,1,14,1,7,31.812361376403643,-2:2,none,0,6,0,hex,14,1,0,none,1,12.42,12.42,996.859903,17.685671,7430.291696,97.75,12.625568866729736,"['Action', '1080p', 60, '20s']"
1,none,2,1.8377738759955875,0,12,0,3,48.07812847372787,-1:1,spatial,1,5,0,hex,12,0,0,cbr,1,8.16,8.16,453.186275,2.189105,919.710035,149.57,8.378619194030762,"['Action', '1080p', 60, '20s']"
0,none,2,1.7737816799525716,1,8,0,-10,44.04314414992295,-4:4,none,0,455,0,hex,35,0,0,none,0,10.03,10.03,856.031904,5.172861,2173.277293,121.28,10.245469331741333,"['Action', '1080p', 60, '20s']"
0,p4x4,0,1.6719274154955288,0,6,0,12,40.7036238094015,3:-3,temporal,1,14,0,dia,14,1,0,none,0,8.91,8.91,699.102132,6.856904,2880.795277,136.83,9.130192995071411,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",3,1.0063904810128326,0,2,0,11,40.38531206348375,5:-5,spatial,1,7,0,umh,21,0,1,none,0,11.85,11.85,964.978903,6.823961,2866.955011,102.02,12.047856569290161,"['Action', '1080p', 60, '20s']"
0,p8x8,1,0.4058034253273919,1,1,0,-8,44.5475692384856,1:-1,none,1,138,0,hex,21,0,1,none,1,9.65,9.65,779.481865,4.561481,1916.417998,125.54,9.8492431640625,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",3,1.6493952916701329,1,8,0,-6,50.02404605093006,-4:4,none,1,122,0,hex,44,0,1,cbr,1,12.91,12.91,1032.455461,3.712926,1559.91383,93.53,13.107892513275146,"['Action', '1080p', 60, '20s']"
0,none,3,0.9626353264617069,1,12,1,-5,49.36776817556104,-6:6,temporal,0,16,0,umh,40,0,1,cbr,1,11.93,11.93,950.3772,2.959707,1243.463619,101.35,12.127166032791138,"['Action', '1080p', 60, '20s']"
