ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,On,On,On,Off,On,Off,Off,On,On,Off,On,Off,Off,Off,Off,Off,Off,On,Off,0.10166001319885254,5.511549472808838,1252968,34.62910509109497,2152160,10605,42.78147912025452,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,On,Off,On,Off,0.10064315795898438,5.49821138381958,1251544,34.75144147872925,2152160,10605,42.68238544464111,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,Off,On,0.09606242179870605,5.504612445831299,1252968,34.757641315460205,2152160,10605,42.942951917648315,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,Off,Off,0.0890195369720459,5.548196315765381,1252968,34.78455901145935,2152160,10605,43.02213191986084,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,Off,Off,Off,On,On,Off,On,Off,Off,Off,On,On,On,Off,0.10052919387817383,5.56859016418457,1252968,34.76966881752014,2152160,10605,42.98487138748169,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,Off,On,On,On,Off,On,Off,Off,Off,Off,Off,Off,On,On,0.08197283744812012,5.504084587097168,1255640,34.58605766296387,2152160,10605,42.71975612640381,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,On,Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,On,Off,0.10295438766479492,5.512185096740723,1251544,34.70915603637695,2152160,10605,42.88380551338196,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,On,Off,On,On,0.07807683944702148,5.552174806594849,1252968,34.7494215965271,2152160,10605,42.86525344848633,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,On,Off,On,On,Off,On,On,Off,0.10100626945495605,5.495815992355347,1251544,34.573264598846436,2152160,10605,42.596572160720825,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,On,On,On,On,On,On,On,On,Off,Off,Off,On,On,On,Off,0.09322452545166016,5.518232822418213,1252968,34.61330723762512,2152160,10605,42.72052788734436,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,Off,Off,On,Off,Off,On,On,0.10713720321655273,5.547534942626953,1251544,34.633116006851196,2152160,10605,42.83399844169617,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,On,Off,Off,On,On,On,Off,Off,Off,Off,Off,On,On,On,Off,0.09160804748535156,5.522173166275024,1252968,34.592299461364746,2152160,10605,42.74272680282593,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,On,Off,On,On,On,Off,On,Off,Off,On,Off,On,On,Off,0.10192251205444336,5.5286173820495605,1248872,34.596845388412476,2152160,10605,42.806082010269165,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,Off,Off,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,0.08270120620727539,5.509948968887329,1252968,34.59086060523987,2152160,10605,42.69446587562561,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,On,Off,Off,On,On,On,On,Off,Off,Off,On,On,Off,On,Off,0.07218766212463379,5.484809160232544,1251544,34.58618974685669,2152160,10605,42.60565423965454,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,On,On,On,Off,0.09809470176696777,5.507835388183594,1251544,34.639880895614624,2152160,10605,42.763808727264404,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,Off,Off,Off,On,On,On,On,Off,On,On,On,Off,On,Off,0.08738398551940918,5.502471685409546,1251544,34.648529052734375,2152160,10605,42.722978830337524,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,Off,On,Off,On,On,On,On,Off,Off,Off,Off,On,On,Off,On,0.07689356803894043,5.501006364822388,1252968,34.59304475784302,2152160,10605,42.65213704109192,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,Off,Off,On,On,On,On,On,On,Off,Off,Off,Off,On,On,Off,0.09171605110168457,5.512279033660889,1255640,34.62116980552673,2152160,10605,42.677212715148926,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,On,On,On,On,On,On,Off,Off,Off,Off,Off,Off,On,On,On,0.09403800964355469,5.552107095718384,1252968,34.756515979766846,2152160,10605,42.95681142807007,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,On,On,On,On,On,Off,Off,Off,On,Off,Off,On,On,On,0.0944528579711914,5.495871067047119,1252968,34.785170793533325,2152160,10605,42.82847762107849,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,On,On,On,On,0.09878921508789062,5.537115097045898,1252968,34.75068211555481,2152160,10605,42.89369559288025,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,Off,Off,On,On,Off,On,Off,Off,On,Off,Off,Off,On,On,Off,0.08786582946777344,5.502777814865112,1252968,34.765666246414185,2152160,10605,42.85593295097351,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,On,On,Off,On,Off,On,On,Off,Off,Off,Off,On,On,On,0.09897232055664062,5.50783371925354,1252968,34.75552701950073,2152160,10605,42.823270082473755,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,On,Off,Off,On,On,0.09998226165771484,5.523881673812866,1251544,34.78316116333008,2152160,10605,42.954474449157715,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,On,Off,On,On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.08285355567932129,5.522080421447754,1255640,34.74750900268555,2152160,10605,42.90697717666626,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,On,On,On,On,On,On,On,Off,Off,Off,On,On,Off,Off,0.10066366195678711,5.529445648193359,1252968,34.761231899261475,2152160,10605,42.86896467208862,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,On,On,On,Off,On,Off,Off,Off,Off,On,Off,Off,On,On,On,0.10483789443969727,5.5601279735565186,1252968,34.558714866638184,2152160,10605,42.73485994338989,"[10, 50, 6, 4, 50]"
