ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,On,On,On,On,On,On,On,Off,On,Off,Off,Off,Off,Off,On,On,On,On,Off,0.08810901641845703,5.557004928588867,1248872,34.63657593727112,2152160,10605,42.760873556137085,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,On,On,Off,On,Off,Off,On,On,On,Off,On,On,On,Off,0.08699798583984375,5.530844211578369,1252968,34.80278182029724,2152160,10605,42.94506812095642,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,Off,On,Off,On,On,Off,On,On,On,On,Off,On,Off,Off,0.08278369903564453,5.5289154052734375,1251544,34.62132000923157,2152160,10605,42.797483682632446,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,Off,On,Off,On,On,On,On,0.10190176963806152,5.5326173305511475,1252968,34.580546140670776,2152160,10605,42.62525963783264,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,On,Off,Off,On,Off,Off,On,Off,On,On,Off,On,Off,Off,0.08693075180053711,5.481164932250977,1248872,34.77694272994995,2152160,10605,42.84581661224365,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,On,On,Off,Off,On,Off,Off,Off,On,Off,Off,On,On,On,Off,0.09803080558776855,5.5100998878479,1252968,34.62483787536621,2152160,10605,42.68270969390869,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,Off,On,Off,Off,Off,On,On,Off,On,On,Off,On,Off,Off,0.09671139717102051,5.4992835521698,1251544,34.640361070632935,2152160,10605,42.809699296951294,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,On,On,Off,Off,On,On,Off,Off,Off,On,Off,On,On,On,Off,0.08546710014343262,5.51160740852356,1252968,34.63710927963257,2152160,10605,42.740498065948486,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,On,Off,Off,0.08524441719055176,5.517977237701416,1252968,34.618616580963135,2152160,10605,42.68512225151062,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,On,Off,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,0.08716678619384766,5.50915789604187,1255640,34.608015298843384,2152160,10605,42.6741828918457,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,On,On,Off,Off,On,Off,Off,Off,Off,Off,On,Off,On,Off,On,0.09872078895568848,5.527682542800903,1248872,34.77140474319458,2152160,10605,42.95436143875122,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,Off,On,Off,Off,Off,On,On,On,On,On,On,On,On,On,0.0835573673248291,5.496831178665161,1251544,34.779999017715454,2152160,10605,42.87565517425537,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,On,Off,0.09353804588317871,5.534143686294556,1248872,34.66105127334595,2152160,10605,42.75139856338501,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,On,Off,Off,On,On,Off,Off,On,On,On,On,On,On,On,0.0876169204711914,5.510919809341431,1248872,34.787137508392334,2152160,10605,42.88253140449524,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,On,Off,On,Off,Off,Off,On,On,Off,On,On,Off,On,On,Off,0.08881235122680664,5.484408378601074,1248872,34.62280344963074,2152160,10605,42.674264907836914,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,Off,On,Off,On,On,Off,Off,Off,On,Off,Off,On,On,On,0.10004258155822754,5.489383935928345,1252968,34.604169845581055,2152160,10605,42.65033292770386,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,On,Off,Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,Off,0.08249115943908691,5.538569211959839,1252968,34.75906181335449,2152160,10605,42.94960117340088,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,On,On,Off,On,Off,Off,Off,Off,On,On,On,On,On,Off,0.0839991569519043,5.545774459838867,1248872,34.914905071258545,2152160,10605,43.11310315132141,"[10, 50, 6, 4, 50]"
