fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,On,On,On,Off,Off,On,On,Off,On,On,Off,On,Off,Off,Off,Off,On,On,0.09890270233154297,0.7149350643157959,206008,4.1514317989349365,828309,4503,7.437936067581177,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,On,Off,Off,On,On,Off,On,Off,On,Off,Off,On,On,On,On,On,0.07739663124084473,0.7215094566345215,207240,4.158376693725586,828309,4503,7.405186653137207,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,Off,Off,Off,Off,Off,Off,On,Off,On,Off,On,Off,On,Off,On,0.0905466079711914,0.7252187728881836,205976,4.155002593994141,828309,4503,7.484349012374878,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,Off,Off,On,On,On,On,On,Off,On,Off,Off,Off,On,On,Off,0.10027694702148438,0.7299039363861084,206008,4.157241344451904,828309,4503,7.447417974472046,"[10, 50, 6, 4, 10]"
On,Off,Off,On,On,Off,Off,On,On,Off,On,On,On,On,Off,On,On,Off,On,Off,0.0855402946472168,0.6833710670471191,207240,4.142030954360962,828309,4503,7.443101644515991,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,On,Off,Off,On,On,Off,On,Off,On,On,Off,On,On,On,Off,On,0.09283018112182617,0.7071826457977295,207240,4.155320167541504,828309,4503,7.4001405239105225,"[10, 50, 6, 4, 10]"
On,Off,Off,On,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,Off,On,On,On,0.10089325904846191,0.7136962413787842,241456,6.806512355804443,866233,4708,10.18424105644226,"[10, 50, 6, 4, 25]"
Off,On,On,On,On,Off,On,On,On,Off,On,Off,Off,On,Off,On,Off,On,Off,On,0.10616898536682129,0.6693742275238037,245624,6.795822381973267,866233,4708,10.082676887512207,"[10, 50, 6, 4, 25]"
On,Off,On,On,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,Off,On,On,Off,0.08398604393005371,0.7053017616271973,241456,6.784955024719238,866233,4708,10.154989957809448,"[10, 50, 6, 4, 25]"
On,On,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.09603071212768555,1.4800596237182617,515000,34.03502345085144,2152160,10605,38.077722787857056,"[10, 50, 6, 4, 50]"
