ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,Off,Off,On,On,On,On,On,Off,On,On,Off,Off,Off,On,On,Off,On,Off,0.09457516670227051,5.560104131698608,1248872,34.800501346588135,2152160,10605,42.92133617401123,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,Off,Off,On,Off,Off,On,On,Off,On,Off,Off,On,On,On,0.09143352508544922,5.5523905754089355,1255640,34.65105748176575,2152160,10605,42.70107316970825,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,Off,On,Off,On,On,Off,On,On,Off,On,Off,On,Off,Off,0.07471847534179688,5.472632169723511,1248872,34.8030686378479,2152160,10605,42.83207297325134,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,Off,On,Off,On,Off,Off,On,On,On,On,Off,Off,On,Off,On,0.0983884334564209,0.40352320671081543,241944,2.209629774093628,356663,1676,5.212002992630005,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,On,On,Off,On,On,0.09265351295471191,0.4207189083099365,236416,2.1792352199554443,356663,1676,4.989212512969971,"[10, 50, 6, 4, 5]"
On,Off,On,On,On,On,Off,On,On,Off,On,On,Off,On,On,On,Off,Off,Off,Off,0.07926821708679199,0.4288482666015625,237848,2.1896204948425293,356663,1676,5.181726694107056,"[10, 50, 6, 4, 5]"
On,On,Off,On,On,On,On,On,Off,Off,On,On,Off,On,On,Off,Off,On,On,Off,0.08760547637939453,0.42653656005859375,241944,2.183729887008667,356663,1676,5.138487100601196,"[10, 50, 6, 4, 5]"
Off,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,Off,On,On,Off,Off,Off,0.08961629867553711,0.4093360900878906,237848,2.1828184127807617,356663,1676,5.117876768112183,"[10, 50, 6, 4, 5]"
Off,On,Off,On,Off,Off,On,On,On,On,On,Off,On,Off,Off,Off,On,Off,On,On,0.0799717903137207,0.3939664363861084,241944,2.1911730766296387,356663,1676,5.072883129119873,"[10, 50, 6, 4, 5]"
On,Off,Off,On,On,On,Off,Off,Off,On,Off,Off,On,Off,On,On,On,On,On,On,0.09067964553833008,0.3896157741546631,237848,2.1912856101989746,356663,1676,5.094685792922974,"[10, 50, 6, 4, 5]"
Off,On,On,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,Off,Off,Off,On,Off,Off,0.08690071105957031,0.3886854648590088,240512,2.217212200164795,356663,1676,5.2192065715789795,"[10, 50, 6, 4, 5]"
On,Off,On,On,On,On,Off,On,On,Off,On,On,Off,On,On,On,Off,Off,Off,Off,0.08411812782287598,1.4428458213806152,465288,4.284045934677124,828309,4503,8.337436437606812,"[10, 50, 6, 4, 10]"
Off,On,Off,On,Off,Off,On,On,On,On,On,Off,On,Off,Off,Off,On,Off,On,On,0.08902168273925781,1.422736644744873,469384,4.250883102416992,828309,4503,8.19819164276123,"[10, 50, 6, 4, 10]"
Off,On,On,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,Off,Off,Off,On,Off,Off,0.09023714065551758,1.426886796951294,472056,4.255760908126831,828309,4503,8.246378660202026,"[10, 50, 6, 4, 10]"
On,On,Off,On,On,On,On,On,Off,Off,On,On,Off,On,On,Off,Off,On,On,Off,0.09161996841430664,1.4420382976531982,469384,4.271791219711304,828309,4503,8.359848499298096,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,On,Off,On,On,Off,On,On,Off,On,On,On,Off,Off,Off,Off,0.07809567451477051,1.4898617267608643,496248,7.187782287597656,866233,4708,11.159532308578491,"[10, 50, 6, 4, 25]"
Off,On,Off,On,Off,Off,On,On,On,On,On,Off,On,Off,Off,Off,On,Off,On,On,0.09259533882141113,1.5203676223754883,504440,7.181759595870972,866233,4708,11.332510709762573,"[10, 50, 6, 4, 25]"
On,Off,On,On,On,On,Off,On,On,Off,On,On,Off,On,On,On,Off,Off,Off,Off,0.09805464744567871,5.495832204818726,1248872,34.55993843078613,2152160,10605,42.694313287734985,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,Off,On,Off,On,On,Off,On,On,On,Off,On,On,Off,Off,Off,0.08628535270690918,1.4418857097625732,465288,4.28686261177063,828309,4503,8.276931524276733,"[10, 50, 6, 4, 10]"
Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,On,Off,Off,Off,0.09337496757507324,1.4390368461608887,472056,4.281721591949463,828309,4503,8.220995426177979,"[10, 50, 6, 4, 10]"
Off,On,On,On,On,On,On,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,On,On,0.10197210311889648,1.4327342510223389,465288,4.256217956542969,828309,4503,8.301413297653198,"[10, 50, 6, 4, 10]"
On,On,Off,Off,On,On,On,On,Off,Off,On,Off,On,Off,On,On,Off,Off,Off,On,0.07978081703186035,1.440786600112915,465288,4.239398002624512,828309,4503,8.208418846130371,"[10, 50, 6, 4, 10]"
Off,Off,On,Off,On,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,On,On,On,0.08183574676513672,1.4452698230743408,472056,4.2431416511535645,828309,4503,8.200988531112671,"[10, 50, 6, 4, 10]"
On,Off,Off,On,Off,On,Off,Off,On,Off,Off,Off,On,On,On,Off,Off,On,On,Off,0.09868335723876953,1.449232816696167,469384,4.287560701370239,828309,4503,8.21796989440918,"[10, 50, 6, 4, 10]"
On,On,Off,Off,On,On,On,On,Off,Off,On,Off,On,Off,On,On,Off,Off,Off,On,0.09182524681091309,1.520007848739624,496248,7.17424201965332,866233,4708,11.273801326751709,"[10, 50, 6, 4, 25]"
Off,Off,On,Off,On,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,On,On,On,0.10277032852172852,1.4869487285614014,503000,7.155852317810059,866233,4708,11.182425260543823,"[10, 50, 6, 4, 25]"
On,On,On,On,Off,Off,On,Off,On,On,Off,On,On,On,Off,On,On,Off,Off,Off,0.09485125541687012,1.4898641109466553,496248,7.159340143203735,866233,4708,11.250170946121216,"[10, 50, 6, 4, 25]"
On,On,Off,Off,On,On,On,On,Off,Off,On,Off,On,Off,On,On,Off,Off,Off,On,0.10110640525817871,5.473686456680298,1248872,34.84893441200256,2152160,10605,42.88484048843384,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,On,On,On,On,On,Off,Off,On,On,Off,Off,On,Off,On,0.08741521835327148,1.5069758892059326,504440,7.155222415924072,866233,4708,11.267194986343384,"[10, 50, 6, 4, 25]"
On,Off,On,Off,On,On,On,On,Off,Off,Off,Off,On,On,Off,Off,On,On,Off,On,0.08943915367126465,1.5040779113769531,504440,7.168019771575928,866233,4708,11.371556520462036,"[10, 50, 6, 4, 25]"
Off,On,Off,On,On,Off,Off,Off,On,Off,On,On,On,Off,Off,On,On,Off,On,Off,0.09467744827270508,1.4904663562774658,494808,7.149626016616821,866233,4708,11.219970703125,"[10, 50, 6, 4, 25]"
Off,Off,On,On,Off,Off,Off,Off,Off,On,Off,On,Off,Off,On,On,Off,Off,On,Off,0.08043289184570312,1.4981982707977295,494808,7.155861854553223,866233,4708,11.105566501617432,"[10, 50, 6, 4, 25]"
Off,Off,On,On,Off,Off,Off,Off,Off,On,Off,On,Off,Off,On,On,Off,Off,On,Off,0.10477280616760254,5.526641130447388,1251544,34.58574175834656,2152160,10605,42.78994917869568,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,On,On,On,On,On,Off,Off,On,On,Off,Off,On,Off,On,0.08960890769958496,5.503968954086304,1252968,34.73930549621582,2152160,10605,42.80251121520996,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,On,On,Off,Off,Off,On,On,On,On,0.08382439613342285,5.489364385604858,1255640,34.6546196937561,2152160,10605,42.797378063201904,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,On,Off,On,Off,Off,Off,Off,0.09574723243713379,5.506134510040283,1248872,34.61801552772522,2152160,10605,42.69701075553894,"[10, 50, 6, 4, 50]"
