fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,On,Off,On,On,Off,On,On,Off,0.08642077445983887,0.21377921104431152,35432,0.2846674919128418,140021,719,2.938333749771118,"[80, 35, 2, 2, 15]"
Off,Off,Off,On,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off,Off,Off,Off,0.07928061485290527,0.1903226375579834,35432,0.27745842933654785,140021,719,2.9063382148742676,"[80, 35, 2, 2, 15]"
Off,On,On,On,On,On,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,0.08186745643615723,0.1874692440032959,35432,0.27632617950439453,140021,719,2.9190053939819336,"[80, 35, 2, 2, 15]"
On,On,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,Off,On,Off,0.10523509979248047,0.19894027709960938,36464,0.27501797676086426,140021,719,2.9349312782287598,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,Off,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,Off,On,0.08200788497924805,0.1781315803527832,36464,0.2981224060058594,140021,719,2.9711380004882812,"[80, 35, 2, 2, 15]"
On,On,Off,On,Off,On,Off,On,On,Off,On,Off,On,Off,On,Off,On,On,On,Off,0.08304715156555176,0.22668027877807617,36464,0.2889375686645508,140021,719,3.06069016456604,"[80, 35, 2, 2, 15]"
On,Off,On,On,On,On,Off,Off,On,On,On,Off,On,On,Off,Off,On,Off,On,Off,0.09113931655883789,0.1918494701385498,36464,0.2711799144744873,140021,719,2.981917142868042,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,On,On,On,On,On,Off,Off,Off,Off,On,Off,On,Off,On,Off,0.08892631530761719,0.1889057159423828,36464,0.2760488986968994,140021,719,2.9267876148223877,"[80, 35, 2, 2, 15]"
On,On,On,On,Off,On,On,Off,Off,On,On,On,On,On,On,Off,On,On,Off,Off,0.09342360496520996,0.22968125343322754,36464,0.27362871170043945,140021,719,3.0367727279663086,"[80, 35, 2, 2, 15]"
Off,On,On,On,On,On,On,On,Off,On,On,On,Off,Off,Off,On,On,On,Off,Off,0.08945822715759277,0.19349455833435059,36464,0.29131102561950684,140021,719,2.9977917671203613,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,0.0713648796081543,0.18592286109924316,36464,0.2765963077545166,140021,719,2.985750198364258,"[80, 35, 2, 2, 15]"
On,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,Off,On,On,Off,On,On,Off,On,0.0869748592376709,0.21188116073608398,36464,0.2771778106689453,140021,719,3.081456184387207,"[80, 35, 2, 2, 15]"
On,Off,On,On,On,On,Off,Off,On,Off,Off,On,On,On,Off,Off,On,Off,Off,On,0.09776639938354492,0.2255110740661621,36464,0.2851440906524658,140021,719,3.0094566345214844,"[80, 35, 2, 2, 15]"
Off,On,On,On,Off,Off,On,Off,Off,On,On,On,Off,On,On,On,Off,Off,On,Off,0.08437085151672363,0.21850848197937012,35432,0.2786397933959961,140021,719,2.965254306793213,"[80, 35, 2, 2, 15]"
Off,On,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,Off,On,On,Off,On,0.071868896484375,0.21033453941345215,36464,0.2827904224395752,140021,719,3.054598093032837,"[80, 35, 2, 2, 15]"
Off,Off,On,On,On,On,Off,Off,Off,On,On,Off,Off,Off,On,Off,On,On,Off,Off,0.08437347412109375,0.23496174812316895,36464,0.2750406265258789,140021,719,3.056730270385742,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,Off,Off,Off,On,Off,On,On,Off,On,On,Off,On,On,Off,Off,0.09419918060302734,0.171799898147583,36464,0.2814209461212158,140021,719,3.0377635955810547,"[80, 35, 2, 2, 15]"
On,On,Off,On,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,On,On,0.08144307136535645,0.22586679458618164,36464,0.2758464813232422,140021,719,3.1163699626922607,"[80, 35, 2, 2, 15]"
Off,Off,On,Off,On,Off,Off,On,Off,On,Off,On,On,Off,On,Off,Off,Off,Off,On,0.08698368072509766,0.23093533515930176,35432,0.29047560691833496,140021,719,3.0119216442108154,"[80, 35, 2, 2, 15]"
Off,On,On,Off,On,On,On,Off,Off,Off,Off,Off,On,Off,On,Off,On,On,On,On,0.07457399368286133,0.18754911422729492,36464,0.2789740562438965,140021,719,2.9245126247406006,"[80, 35, 2, 2, 15]"
