fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,On,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,0.08154606819152832,0.15214753150939941,22984,0.11337065696716309,14989,171,2.8796703815460205,"[60, 10, 1, 1, 5]"
On,On,Off,On,Off,On,Off,On,On,On,On,Off,On,On,On,Off,On,On,Off,Off,0.08756446838378906,0.1427628993988037,24008,0.12165641784667969,14989,171,2.8274664878845215,"[60, 10, 1, 1, 5]"
On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,0.0829463005065918,0.14719676971435547,22984,0.09672927856445312,14989,171,2.800952434539795,"[60, 10, 1, 1, 5]"
Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,On,0.09671187400817871,0.14786744117736816,24008,0.10790681838989258,14989,171,2.855560302734375,"[60, 10, 1, 1, 5]"
Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,Off,On,On,0.08581733703613281,0.16192936897277832,18584,0.11591053009033203,28004,471,2.9093947410583496,"[80, 5, 2, 1, 20]"
Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,0.08961176872253418,0.14312005043029785,18584,0.11735129356384277,28004,471,2.8627405166625977,"[80, 5, 2, 1, 20]"
On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,Off,0.09705352783203125,0.18191909790039062,18584,0.09982156753540039,28004,471,2.975721836090088,"[80, 5, 2, 1, 20]"
Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,0.0919182300567627,0.14395499229431152,17528,0.09990310668945312,28004,471,2.8595988750457764,"[80, 5, 2, 1, 20]"
On,On,Off,Off,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,0.08137392997741699,0.153609037399292,17528,0.10599231719970703,28004,471,2.913147449493408,"[80, 5, 2, 1, 20]"
Off,On,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,Off,Off,On,On,On,0.08107757568359375,0.1385354995727539,17528,0.09326004981994629,28004,471,2.8222079277038574,"[80, 5, 2, 1, 20]"
