maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
1,511,17070,54731,83861,60,135,true,55598,true,137117,19656,66085,false,19086,62508,58518,580,300665,1,4658.55,180.0393009185791,"[8, 50, 180, True]"
6,571,2542,21295,47183,273,63,false,43824,false,440736,11234,79268,false,42806,18750,9488,207,52554,5,2853.51,180.07107067108154,"[8, 50, 180, True]"
19842,311,12619,89,42268,21,243,true,27984,false,204785,57289,25129,true,61273,61602,8503,61,130869,1,2961.51,361.25464844703674,"[8, 50, 180, True]"
163,861,24783,5291,43191,496,394,false,46572,false,299429,51799,6854,false,22407,59145,49506,450,272440,5,2699.18,180.12291502952576,"[8, 50, 180, True]"
8,879,57695,59722,71203,423,169,false,25188,true,230904,5188,81374,true,61652,55357,62136,898,481859,5,2936.65,180.1236298084259,"[8, 50, 180, True]"
7,2,10032,17230,69050,437,288,true,54593,true,43084,18745,1733,true,57267,62208,37351,457,269647,5,3267.45,361.19029998779297,"[8, 50, 180, True]"
1,187,5634,19589,31897,227,188,true,23967,true,428567,32239,56632,false,47788,36023,31719,814,208290,1,4604.21,180.11880683898926,"[8, 50, 180, True]"
1,216,49398,2838,65259,342,478,false,10958,true,155849,50895,98509,false,21316,56736,24917,6,62418,9,3610.04,180.11709642410278,"[8, 50, 180, True]"
3,442,8369,22630,31608,492,441,true,10266,true,440537,58612,9970,true,2230,40418,42049,432,174356,8,3290.41,180.09075689315796,"[8, 50, 180, True]"
14347,117,50798,45577,50957,375,429,false,32755,false,19137,30688,4151,true,51528,21900,45941,131,221456,6,2673.02,180.12638354301453,"[8, 50, 180, True]"
15690,425,1780,41881,35197,161,414,true,48104,true,226293,59716,84586,false,34072,14492,60675,948,313879,1,2684.03,180.0850007534027,"[8, 50, 180, True]"
7,984,56412,50687,37242,12,7,true,30366,false,543710,37856,51979,false,51754,14121,10535,918,383168,3,3053.13,180.08722686767578,"[8, 50, 180, True]"
14892,973,13381,162,79347,499,194,false,25988,false,490827,35659,2938,false,15442,54631,56178,235,288404,3,2652.54,180.11390376091003,"[8, 50, 180, True]"
1,826,51697,52181,10864,382,264,false,15750,true,49908,30916,94491,true,39562,52454,59749,725,332631,3,5018.65,180.10939073562622,"[8, 50, 180, True]"
996,495,41931,56360,28985,251,106,true,2911,true,497201,9600,23476,true,21202,167,38363,458,541084,7,0.0,4.0531158447265625e-06,"[8, 50, 180, True]"
7,902,10119,57613,31100,12,412,true,7878,true,545801,14544,18829,false,54441,39725,31599,644,90660,1,0.0,1.430511474609375e-06,"[8, 50, 180, True]"
599,905,1518,18194,72033,171,349,true,18413,true,308077,58151,21126,true,51684,62839,38854,981,39692,5,2681.5,180.07772421836853,"[8, 50, 180, True]"
5,953,42973,46089,48268,207,460,false,21125,false,354350,35915,94379,false,36654,63449,2348,617,90734,5,2931.29,180.0538775920868,"[8, 50, 180, True]"
12,930,9542,9952,75067,151,443,false,6730,false,36140,54703,39280,true,46007,56115,26685,980,576899,6,2781.91,180.12865447998047,"[8, 50, 180, True]"
781,936,9673,59531,83935,376,84,false,58308,true,31866,7988,8638,true,41302,36071,40125,221,156880,1,2612.08,180.12605118751526,"[8, 50, 180, True]"
11630,871,10995,1741,93309,306,376,false,47914,true,49032,59705,66207,true,58441,63486,48590,474,234035,4,2692.65,180.09148931503296,"[8, 50, 180, True]"
5,896,6,32628,75129,195,154,false,24161,false,248992,10087,30357,true,61270,45559,64673,875,27733,8,3848.79,361.1544117927551,"[8, 50, 180, True]"
7,925,2258,54119,48050,172,31,true,58473,false,194526,49200,41928,false,14943,45297,33792,163,227165,8,2875.35,180.1371066570282,"[8, 50, 180, True]"
13202,911,34998,45800,76714,13,114,true,45649,true,569960,50783,3005,true,12536,6814,50392,963,101088,1,2754.69,180.1261341571808,"[8, 50, 180, True]"
5,200,36733,16971,42375,3,153,true,51426,false,174547,18285,4640,true,41448,2586,8131,913,56670,10,2844.91,180.12166476249695,"[8, 50, 180, True]"
1,97,28519,4604,36761,421,476,true,5393,false,30009,8955,98570,true,52668,2775,53056,350,537811,1,4886.98,180.11995100975037,"[8, 50, 180, True]"
1466,452,56193,48518,70780,10,445,false,329,true,100836,17379,69539,true,61892,31776,63744,63,82000,6,2791.83,180.12891626358032,"[8, 50, 180, True]"
7,546,6131,50899,48266,178,489,false,11339,true,590126,4408,86923,true,62442,4407,57985,297,220346,1,3099.53,180.10869908332825,"[8, 50, 180, True]"
7,491,33357,34183,16401,5,422,false,47974,true,324687,50344,98486,false,48129,45979,41008,290,34667,1,2845.57,180.07371163368225,"[8, 50, 180, True]"
30,793,11701,55401,88975,203,435,true,24229,false,80807,1275,1163,false,55384,19193,3127,25,95486,1,2620.34,180.11969685554504,"[8, 50, 180, True]"
7,961,45252,38061,39382,154,431,true,23148,true,211585,7528,43169,false,21641,7830,50721,251,152659,3,3026.87,180.1206545829773,"[8, 50, 180, True]"
4627,822,28707,8547,97310,199,134,false,33313,false,493944,50053,29515,false,1437,55642,11336,725,542644,8,2703.51,180.08354687690735,"[8, 50, 180, True]"
2395,903,53003,30959,67510,389,247,true,9050,false,325702,48983,33336,true,2466,24866,32441,858,146087,3,2659.12,180.13114213943481,"[8, 50, 180, True]"
16940,888,1605,154,29805,12,417,false,54950,true,429668,27827,25645,true,1280,63441,4967,421,575116,10,2702.26,180.12129545211792,"[8, 50, 180, True]"
18868,724,22713,13369,55353,497,323,false,40967,false,502743,59858,11633,false,58205,25772,59005,32,213163,9,2692.03,180.12186861038208,"[8, 50, 180, True]"
